Year,Air Carrier,Air Taxi,Total
2005,13467204,12437123,25904327
2006,13356029,11848397,25204426
2007,13690082,11612758,25302840
2008,13550281,10662461,24212742
2009,12732804,9412534,22145338
2010,12722700,9436641,22159341
2011,12861792,9177953,22039745
2012,12818415,8903614,21722029
2013,12845544,8796529,21642073
2014,13170730,8309285,21480015
2015,13944055,7768815,21712870
2016,14544405,7514622,22059027
2017,15213315,7127837,22341152
2018,15851779,7127624,22979403
2019,16331130,7298510,23629640
2020,10167764,4948758,15116522
2021,13403813,6255960,19659773
2022,15271351,6418884,21690235
2023,16517791,6540850,23058641
2024,17142854,6839528,23982382
2025,17142854,6839528,23982382
